,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
COVID-19,,,2757.0,6524.0,7702.0,6882.0,7473.0,6174.0,5522.0,5757.0,5448.0,6118.0,5451.0,4037.0,4716.0,4562.0,4030.0,3309.0,5860.0,4474.0,3470.0,2753.0,2660.0,3074.0,3385.0,1943.0,1387.0
that,,,2747.0,4378.0,4390.0,3366.0,3750.0,2734.0,2426.0,3119.0,2447.0,2324.0,1969.0,1265.0,1414.0,1376.0,1202.0,995.0,,1519.0,1066.0,822.0,815.0,1129.0,1186.0,665.0,414.0
have,,,,3640.0,3779.0,3063.0,3162.0,2404.0,2133.0,2656.0,1970.0,2012.0,1786.0,1259.0,1261.0,1293.0,1115.0,879.0,,1239.0,940.0,722.0,689.0,973.0,1019.0,495.0,371.0
Covid-19,,,,,4595.0,4142.0,3998.0,3377.0,3108.0,3454.0,2970.0,3255.0,3279.0,2432.0,2701.0,2549.0,2361.0,2193.0,2740.0,2337.0,1835.0,1450.0,1386.0,1787.0,1904.0,1172.0,789.0
Trump,,,,,,,,,,2322.0,,,,,,,,,,,,,,,,,
at,,,,,,,,,,,,,,,1258.0,1434.0,1397.0,1033.0,,,813.0,638.0,600.0,,,,322.0
#WhatsHappeningInMyanmar,,,,,,,,,,,,,,,,,,,4566.0,,,,,,,,
FOR,,,,,,,,,,,,,,,,,,,2047.0,,,,,,,,
NEED,,,,,,,,,,,,,,,,,,,1997.0,,,,,,,,
WE,,,,,,,,,,,,,,,,,,,1994.0,,,,,,,,
HELP,,,,,,,,,,,,,,,,,,,1989.0,,,,,,,,
#MyanmarNeedsO2,,,,,,,,,,,,,,,,,,,1511.0,,,,,,,,
&amp;,,,,,,,,,,,,,,,,,,,1302.0,,,,,,,,
